,Year,Month,Anomaly-Gl,Uncertainty-Gl,Anomaly-NH,Uncertainty-NH,Anomaly-SH,Uncertainty-SH
532,1797,5,-1.157,1.673,,,,
533,1797,6,0.05,0.921,,,,
534,1797,7,-1.24,1.22,,,,
535,1797,8,-0.17,1.098,,,,
536,1797,9,0.033,1.523,,,,
537,1797,10,-0.513,1.112,,,,
538,1797,11,-1.455,1.793,,,,
539,1797,12,-0.12,2.101,,,,
540,1798,1,0.484,2.413,,,,
541,1798,2,-0.056,2.676,,,,
542,1798,3,1.074,1.579,,,,
543,1798,4,-0.451,1.573,,,,
544,1798,5,-0.59,2.075,,,,
545,1798,6,-0.814,0.942,,,,
546,1798,7,-0.025,0.96,,,,
547,1798,8,0.905,1.575,,,,
548,1798,9,-0.821,2.708,,,,
549,1798,10,-0.794,2.084,,,,
550,1798,11,-0.164,2.391,,,,
551,1798,12,-1.531,2.624,,,,
552,1799,1,-0.409,2.068,,,,
553,1799,2,-2.253,2.816,,,,
554,1799,3,-2.04,2.285,,,,
555,1799,4,-0.025,1.344,,,,
556,1799,5,-0.388,1.109,,,,
557,1799,6,-0.294,1.041,,,,
558,1799,7,-0.362,1.125,,,,
559,1799,8,-0.45,1.23,,,,
560,1799,9,-0.35,1.09,,,,
561,1799,10,-0.028,1.422,,,,
562,1799,11,0.357,2.734,,,,
563,1799,12,-1.892,1.766,,,,
564,1800,1,-0.717,2.358,,,,
565,1800,2,-0.769,3.626,,,,
566,1800,3,-1.15,1.754,,,,
567,1800,4,0.648,1.619,,,,
568,1800,5,-1.045,0.932,,,,
569,1800,6,-0.54,0.763,,,,
570,1800,7,-0.988,0.983,,,,
571,1800,8,-0.44,0.877,,,,
572,1800,9,-1.172,1.032,,,,
573,1800,10,-0.041,1.186,,,,
574,1800,11,-0.25,1.404,,,,
575,1800,12,-0.013,1.643,,,,
576,1801,1,1.029,2.079,,,,
577,1801,2,0.529,2.472,,,,
578,1801,3,1.372,1.482,,,,
579,1801,4,-0.833,1.089,,,,
580,1801,5,0.245,1.46,,,,
581,1801,6,-0.616,1.299,,,,
582,1801,7,-0.065,1.441,,,,
583,1801,8,-1.319,1.673,,,,
584,1801,9,-0.313,1.094,,,,
585,1801,10,1.158,3.038,,,,
586,1801,11,-0.29,1.56,,,,
587,1801,12,1.084,2.076,,,,
588,1802,1,1.666,2.209,,,,
589,1802,2,1.4,2.845,,,,
